Week,HK,KL,NTE,NTW
2018/10/15 - 2018/10/21,190.69,186.12,194.31,171.27
2018/10/08 - 2018/10/14,191.59,185.06,196.46,171.85
2018/10/01 - 2018/10/07,191.41,184.39,203.23,169.44
2018/09/24 - 2018/09/30,191.47,185.16,203.69,168.8
2018/09/17 - 2018/09/23,191.72,185.34,205.14,168.73
2018/09/10 - 2018/09/16,191.7,184.5,206.8,168.79
2018/09/03 - 2018/09/09,192.3,184.64,207.29,169.36
2018/08/27 - 2018/09/02,192.52,188.71,207.53,170.16
2018/08/20 - 2018/08/26,193.43,187.43,208.82,171.48
2018/08/13 - 2018/08/19,193.13,184.26,206.22,172.34
2018/08/06 - 2018/08/12,193.89,185.84,206.36,173.58
2018/07/30 - 2018/08/05,192.96,184.88,204.81,174.72
2018/07/23 - 2018/07/29,194.29,185.36,205.03,176.99
2018/07/16 - 2018/07/22,193.25,183.79,205.13,176.43
2018/07/09 - 2018/07/15,197.99,182.45,203.36,172.4
2018/07/02 - 2018/07/08,195.36,184.53,204.83,173.22
2018/06/25 - 2018/07/01,195.47,182.65,203.95,171.73
2018/06/18 - 2018/06/24,195.75,181.66,201.96,170.32
2018/06/11 - 2018/06/17,190.12,181.45,201.96,169.11
2018/06/04 - 2018/06/10,189.95,180.05,199.34,166.74
2018/05/28 - 2018/06/03,190,179.46,198.17,164.63
2018/05/21 - 2018/05/27,192.54,175.6,197.86,164.06
2018/05/14 - 2018/05/20,188.74,175.94,195.81,165.01
2018/05/07 - 2018/05/13,187.79,181.92,192.07,165.17
2018/04/30 - 2018/05/06,189.52,181.71,191.86,163.71
2018/04/23 - 2018/04/29,189.55,180.67,189.12,161.94
2018/04/16 - 2018/04/22,184.99,177.28,189,161.8
2018/04/09 - 2018/04/15,187.16,174.14,191.72,162.01
2018/04/02 - 2018/04/08,181.04,174.25,187.41,160.72
2018/03/26 - 2018/04/01,184.07,174.84,186.22,159.53
2018/03/19 - 2018/03/25,182.01,169.84,181.48,157.08
2018/03/12 - 2018/03/18,184.55,167.53,181.3,161.23
2018/03/05 - 2018/03/11,179.71,165.94,182.39,155.79
2018/02/26 - 2018/03/04,180.42,168.35,180.28,157.71
2018/02/19 - 2018/02/25,180.1,167.14,180.42,154.94
2018/02/12 - 2018/02/18,178.62,169.19,182.04,155.7
2018/02/05 - 2018/02/11,176.05,165.61,180.4,154.43
2018/01/29 - 2018/02/04,175.38,165.71,178.95,153.11
2018/01/22 - 2018/01/28,178.02,162.2,178.54,155.14
2018/01/15 - 2018/01/21,176.49,163.73,177.52,153.5
2018/01/08 - 2018/01/14,177,165.49,177.59,150.34
2018/01/01 - 2018/01/07,173.08,163.25,174.08,151.52
2017/12/25 - 2017/12/31,172.75,162.9,172.73,151.31
2017/12/18 - 2017/12/24,176.92,164.18,171.43,150.93
2017/12/11 - 2017/12/17,171.83,164.66,173.4,153.17
2017/12/04 - 2017/12/10,172.7,161.67,174.33,151.85
2017/11/27 - 2017/12/03,174.92,159.72,172.71,150.26
2017/11/20 - 2017/11/26,172.96,161.5,171.71,150.09
2017/11/13 - 2017/11/19,174.01,160.56,170.63,146.49
2017/11/06 - 2017/11/12,169.5,161.26,174.79,149.05
2017/10/30 - 2017/11/05,173.3,158.85,172.03,147.36
2017/10/23 - 2017/10/29,164.17,157,167.37,148.72
2017/10/16 - 2017/10/22,169.3,156.73,171.31,147.19
2017/10/09 - 2017/10/15,167.83,160.21,170.33,146.59
2017/10/02 - 2017/10/08,167.9,158.27,169.48,146.62
2017/09/25 - 2017/10/01,169.14,158.27,169.96,146.77
2017/09/18 - 2017/09/24,169.84,158.07,170.47,146.47
2017/09/11 - 2017/09/17,168.92,156.97,170.41,144.65
2017/09/04 - 2017/09/10,169.79,157.06,171.24,146.47
2017/08/28 - 2017/09/03,169.01,155.83,169.49,150.48
2017/08/21 - 2017/08/27,175.12,156.99,167.73,146.52
2017/08/14 - 2017/08/20,169.54,159.89,167.69,146.66
2017/08/07 - 2017/08/13,170.3,157.9,166.56,145.73
2017/07/31 - 2017/08/06,169.98,157.08,166.68,145.53
2017/07/24 - 2017/07/30,168.33,156.32,171.59,147.34
2017/07/17 - 2017/07/23,171.38,154.41,170.09,146.1
2017/07/10 - 2017/07/16,171.42,151.7,171.73,145.49
2017/07/03 - 2017/07/09,172.07,152.58,171.91,145.24
2017/06/26 - 2017/07/02,172.67,155.19,171.24,142.94
2017/06/19 - 2017/06/25,173.8,155.2,170.3,143.91
2017/06/12 - 2017/06/18,170.73,156.64,168.12,142.8
2017/06/05 - 2017/06/11,171.61,157.08,169.03,144.71
2017/05/29 - 2017/06/04,169.79,156.62,168.32,144.03
2017/05/22 - 2017/05/28,170.1,157.46,167.56,143.35
2017/05/15 - 2017/05/21,171.86,156.84,167.3,140.16
2017/05/08 - 2017/05/14,168.89,153.77,165.89,141.86
2017/05/01 - 2017/05/07,163.95,156.75,163.56,144.5
2017/04/24 - 2017/04/30,166.39,153.43,166.36,139.51
2017/04/17 - 2017/04/23,165.45,152.89,162.97,139.22
2017/04/10 - 2017/04/16,163.06,148.57,165.18,138.15
2017/04/03 - 2017/04/09,164.97,148.01,164.66,136.44
2017/03/27 - 2017/04/02,163.93,148.67,163.18,137.49
2017/03/20 - 2017/03/26,164.23,148.09,157.19,136.98
2017/03/13 - 2017/03/19,163.2,147.81,157.95,137.05
2017/03/06 - 2017/03/12,164.34,145.52,156.73,133.71
2017/02/27 - 2017/03/05,161.51,146.03,154.98,133.36
2017/02/20 - 2017/02/26,157.36,148.35,156.05,131.64
2017/02/13 - 2017/02/19,159.82,147.78,152.17,130.15
2017/02/06 - 2017/02/12,157.9,147.04,152.34,129.55
2017/01/30 - 2017/02/05,158.18,146.8,151.27,130.44
2017/01/23 - 2017/01/29,157.28,144.76,150.89,131.14
2017/01/16 - 2017/01/22,157.67,145.26,155.56,131.67
2017/01/09 - 2017/01/15,152.39,143.77,153.54,130.1
2017/01/02 - 2017/01/08,151.32,143.11,153.92,129.61
2016/12/26 - 2017/01/01,154.65,140.63,152.21,131.85